	GDPperCAPITA	PC_per_100
Albania	1525.723589	1.73
Algeria	2115.186028	1.07
Angola	404.2703017	0.59
Antigua and Barbuda	11102.93216	14.85
Argentina	8107.975365	9.03
Armenia	1109.033787	9.85
Austria	25370.46587	61.01
Azerbaijan	1182.918447	2.31
Bahamas	21507.71526	12.38
Bahrain	14775.63326	17.62
Bangladesh	436.6881834	1.59
Barbados	9454.342464	14.84
Belarus	1871.393671	0.81
Belgium	24033.7833	37.95
Belize	3705.052686	15.2
Benin	357.2500703	0.38
Bhutan	974.7109253	0.6
Bolivia	1069.018333	2.4
Bosnia and Herzegovina	1854.791431	5.43
Botswana	3880.266895	4.87
Brazil	3976.619168	16.09
Brunei	18311.88135	8.83
Burkina Faso	252.2147193	0.6
Burundi	128.2961159	0.73
Cambodia	427.5292527	0.31
Cameroon	634.7228138	1.23
Canada	25437.65134	87.69
Cape Verde	1481.686684	10.85
Chad	308.4009003	0.16
Chile	5979.068028	14.11
China	1464.107627	4.83
Colombia	2772.214728	4.15
Comoros	360.0707875	0.68
Costa Rica	4521.011952	23.11
Cote dIvoire	578.0306074	1.78
Cuba	3469.885203	3.35
Cyprus	14411.32418	33.4
Denmark	31439.4391	69.46
Djibouti	789.3938915	2.4
Ecuador	1562.326863	6.55
Egypt	1600.321838	3.65
El Salvador	2438.143651	5.09
Equatorial Guinea	6888.767026	1.79
Eritrea	178.6738179	0.57
Estonia	5956.419264	48.88
Ethiopia	149.1918697	0.39
Fiji	2308.158256	5.9
Finland	26435.02344	50.01
France	22734.23332	57.86
Gabon	4029.265266	3.25
Gambia	603.9892861	1.65
Georgia	998.5338479	4.7
Germany	23564.38517	60.47
Ghana	294.4080169	0.58
Greece	13657.70934	9.17
Guatemala	1760.799855	2.08
Guinea	385.4301951	0.48
Guinea_Bissau	154.1061313	0.19
Guyana	989.2804709	3.86
Haiti	381.4180505	0.19
Honduras	1296.624177	1.43
Hong Kong_ China	30985.89814	59.26
Hungary	5639.394595	14.42
Iceland	36128.59244	48.21
India	577.6567293	1.54
Indonesia	914.5999046	1.47
Ireland	29825.53296	52.99
Italy	19781.95853	36.99
Jordan	2129.780417	6.23
Kenya	426.5174886	1.44
Kuwait	24715.55216	22.33
Latvia	5046.862474	24.53
Lebanon	5129.401773	11.45
Lesotho	416.5360078	0.28
Libya	7194.621728	2.22
Lithuania	4873.504234	17.95
Luxembourg	51927.36096	62.38
Macao_ China	22024.05015	34.77
Macedonia_ FYR	1902.296519	22.17
Madagascar	242.6160692	0.55
Malawi	149.4843299	0.19
Malaysia	4529.601248	22.09
Maldives	2721.81492	13.67
Mali	249.9919308	0.44
Mauritania	532.3746624	2.56
Mauritius	4284.358738	16.87
Mexico	5982.653839	13.08
Micronesia_ Fed_ Sts_	2196.247196	5.43
Moldova	504.5300652	8.27
Monaco	81827.95612	42.55
Mongolia	610.97706	12.85
Morocco	1530.850723	2.37
Mozambique	312.1619264	1.43
Namibia	2390.598795	12.26
Nepal	237.1098462	0.49
Netherlands	25194.34122	85.54
New Zealand	15171.59429	51.56
Nicaragua	1099.721345	4.01
Niger	168.1737544	0.07
Nigeria	442.7179313	0.91
Norway	40584.24403	59.41
Oman	9723.216887	5.06
Panama	4431.128087	4.56
Papua New Guinea	626.3082483	6.64
Paraguay	1331.107082	7.47
Peru	2374.297077	10.01
Philippines	1185.37688	5.44
Poland	5223.679776	13.88
Portugal	11586.96254	15.31
Puerto Rico	18004.27601	0.83
Qatar	32224.00693	17.84
Romania	2260.215139	12.9
Russia	2442.962966	12.15
Rwanda	275.1117623	0.21
Samoa	1742.154491	1.89
San Marino	30075.92142	86.74
Saudi Arabia	9439.858537	12.82
Senegal	540.5931403	2.14
Seychelles	7208.968268	19.84
Singapore	28388.86966	68.43
Slovak Republic	6774.732012	35.72
Slovenia	11930.45861	41.08
Solomon Islands	975.6054302	4.6
South Africa	3397.720015	8.36
Spain	15700.52761	27.87
Sri Lanka	1009.908869	3.54
Sudan	427.4534422	8.97
Suriname	2359.384094	4.45
Swaziland	1663.010501	4.07
Sweden	31271.10358	83.48
Switzerland	36737.40672	88.66
Syria	1330.321415	4.2
Tajikistan	215.8970674	1.3
Tanzania	379.684133	0.93
Thailand	2359.644614	6.86
Togo	252.9503503	3.01
Tonga	2115.027069	5.86
Trinidad and Tobago	9102.422018	9.88
Tunisia	2653.593468	5.62
Turkey	4887.370377	5.56
Turkmenistan	784.469049	7.2
Tuvalu	1426.191345	8.05
Uganda	301.2583026	1.04
Ukraine	960.2262143	3.89
United Arab Emirates	33288.11139	23.36
United Kingdom	28354.03958	76.52
United States	37718.00537	77.26
Uruguay	6967.471275	12.99
Uzbekistan	684.2969072	2.82
Vanuatu	1355.821723	1.42
Venezuela	5000.076202	9.25
Vietnam	543.3565222	6.9
West Bank and Gaza	1056.296491	5.27
Zambia	359.0712373	1.12
Zimbabwe	362.5763768	6.53
