Neighborhood	Class	Units	YearBuilt	SqFt	Income	IncomePerSqFt	Expense	ExpensePerSqFt	NetIncome	Value	ValuePerSqFt	Boro
OCEAN HILL	R2-CONDOMINIUM	40	1900	54600	683046	12.51	348353	6.38	334693	2242996	41.08	Brooklyn
WILLIAMSBURG-CENTRAL	R4-CONDOMINIUM	14	2004	25452	463735	18.22	190131	7.47	273604	1969004	77.36	Brooklyn
BEDFORD STUYVESANT	R4-CONDOMINIUM	5	2003	8270	147206	17.8	71205	8.61	76001	548000	66.26	Brooklyn
WILLIAMSBURG-EAST	R4-CONDOMINIUM	12	2002	17800	346744	19.48	142165	7.99	204579	1466000	82.36	Brooklyn
WILLIAMSBURG-SOUTH	R4-CONDOMINIUM	40	NA	73295	1622018	22.13	824569	11.25	797449	5838999	79.66	Brooklyn
BENSONHURST	R4-CONDOMINIUM	19	2003	35700	654024	18.32	313932	8.79	340092	2447006	68.54	Brooklyn
BEDFORD STUYVESANT	R2-CONDOMINIUM	13	1910	11030	166332	15.08	81401	7.38	84931	536802	48.67	Brooklyn
BOROUGH PARK	R2-CONDOMINIUM	12	2007	18632	295876	15.88	144025	7.73	151851	1037000	55.66	Brooklyn
BRIGHTON BEACH	R4-CONDOMINIUM	9	2008	9665	227128	23.5	79495	8.23	147633	1062999	109.98	Brooklyn
WILLIAMSBURG-CENTRAL	R4-CONDOMINIUM	28	2003	45000	931500	20.7	381915	8.49	549585	4036998	89.71	Brooklyn
WILLIAMSBURG-CENTRAL	R4-CONDOMINIUM	14	2004	14884	271186	18.22	119519	8.03	151667	1091998	73.37	Brooklyn
GRAVESEND	R2-CONDOMINIUM	6	2007	8123	156855	19.31	51987	6.4	104868	776000	95.53	Brooklyn
WILLIAMSBURG-NORTH	R4-CONDOMINIUM	63	1910	105657	2338189	22.13	1052185	9.96	1286004	9415996	89.12	Brooklyn
CROWN HEIGHTS	R4-CONDOMINIUM	10	2008	10313	193781	18.79	73841	7.16	119940	864000	83.78	Brooklyn
DOWNTOWN-FULTON FERRY	R4-CONDOMINIUM	13	2007	20085	442071	22.01	154655	7.7	287416	2107998	104.95	Brooklyn
WILLIAMSBURG-CENTRAL	R4-CONDOMINIUM	14	2006	21528	445630	20.7	169339	7.87	276291	2030002	94.3	Brooklyn
BAY RIDGE	R4-CONDOMINIUM	52	1987	47420	769627	16.23	369421	7.79	400206	2662000	56.14	Brooklyn
WILLIAMSBURG-NORTH	R4-CONDOMINIUM	120	2009	129715	1963885	15.14	1049394	8.09	914491	6287006	48.47	Brooklyn
WILLIAMSBURG-CENTRAL	R4-CONDOMINIUM	19	1931	40294	758736	18.83	417305	10.36	341431	2452994	60.88	Brooklyn
PARK SLOPE	R2-CONDOMINIUM	15	1900	10911	264592	24.25	119066	10.91	145526	1058995	97.06	Brooklyn
WILLIAMSBURG-CENTRAL	R4-CONDOMINIUM	28	2005	32523	673226	20.7	276023	8.49	397203	2918002	89.72	Brooklyn
BUSH TERMINAL	R2-CONDOMINIUM	8	2009	9894	254672	25.74	164834	16.66	89838	603000	60.95	Brooklyn
GREENWICH VILLAGE-WEST	R9-CONDOMINIUM	169	1925	100633	2727154	27.1	1106963	11	1620191	11693000	116.19	Manhattan
MIDTOWN EAST	R4-CONDOMINIUM	100	1970	60900	2142462	35.18	673554	11.06	1468908	10864000	178.39	Manhattan
HARLEM-CENTRAL	RR-CONDOMINIUM	123	2004	99275	2216811	22.33	764418	7.7	1452393	10503000	105.8	Manhattan
TRIBECA	R4-CONDOMINIUM	107	1986	87479	3637377	41.58	1061120	12.13	2576257	19449002	222.33	Manhattan
UPPER WEST SIDE (79-96)	R4-CONDOMINIUM	22	1910	28436	974217	34.26	246256	8.66	727961	5393999	189.69	Manhattan
UPPER WEST SIDE (59-79)	R2-CONDOMINIUM	13	1900	6641	252092	37.96	52663	7.93	199429	1509997	227.37	Manhattan
GREENWICH VILLAGE-WEST	R4-CONDOMINIUM	6	1900	26000	863200	33.2	286000	11	577200	4297001	165.27	Manhattan
UPPER EAST SIDE (79-96)	R4-CONDOMINIUM	82	1988	118052	4387993	37.17	1071912	9.08	3316081	24397008	206.66	Manhattan
