Number	Site	Habitat	Island	Borrelia_prevalence	PH	Temp
1	ASK01	Meadow	ASK	27	7,36	21
2	ASK02	Meadow	ASK	71	7,8	20
3	ASK03	Meadow	ASK	66	7,99	21
4	ASK04	Meadow	ASK	39	6,1	20
5	ASK05	Meadow	ASK	32	7,29	17
6	ASK06	Meadow	ASK	41	7,29	21
7	ASK07	Meadow	ASK	35	6,3	17
8	ASK08	Meadow	ASK	42	6,91	18
9	ASK09	Meadow	ASK	31	7,74	21
10	ASK10	Meadow	ASK	31	7,81	19
11	ASK11	Beach	ASK	73	7,22	18
12	ASK12	Beach	ASK	73	6,78	17
13	ASK13	Beach	ASK	95	6,52	19
14	ASK14	Beach	ASK	60	7,8	20
15	ASK15	Beach	ASK	43	7,19	17
16	ASK16	Beach	ASK	38	7,4	18
17	ASK17	Beach	ASK	74	7,58	21
18	ASK18	Beach	ASK	25	6,47	17
19	ASK19	Beach	ASK	44	7,13	19
20	ASK20	Beach	ASK	40	7,37	18
21	ASK21	Forest	ASK	87	7,02	20
22	ASK22	Forest	ASK	20	6,07	21
23	ASK23	Forest	ASK	65	7,79	19
24	ASK24	Forest	ASK	99	7,18	19
25	ASK25	Forest	ASK	77	6,45	21
26	ASK26	Forest	ASK	25	6,88	21
27	ASK27	Forest	ASK	48	6,7	17
28	ASK28	Forest	ASK	30	7,57	17
29	ASK29	Forest	ASK	55	7,32	21
30	ASK30	Forest	ASK	54	7,64	21
31	TOR01	Meadow	TOR	65	6,78	17
32	TOR02	Meadow	TOR	66	6,12	18
33	TOR03	Meadow	TOR	51	7,67	18
34	TOR04	Meadow	TOR	70	6,37	18
35	TOR05	Meadow	TOR	14	7,62	17
36	TOR06	Meadow	TOR	48	6,72	20
37	TOR07	Meadow	TOR	70	6,33	21
38	TOR08	Meadow	TOR	55	6,35	20
39	TOR09	Meadow	TOR	32	6,34	19
40	TOR10	Meadow	TOR	59	7,57	17
41	TOR11	Beach	TOR	18	6,38	21
42	TOR12	Beach	TOR	19	7,87	18
43	TOR13	Beach	TOR	44	6,85	18
44	TOR14	Beach	TOR	51	7,71	19
45	TOR15	Beach	TOR	13	7,99	20
46	TOR16	Beach	TOR	15	7,84	17
47	TOR17	Beach	TOR	22	6,42	17
48	TOR18	Beach	TOR	62	6,83	17
49	TOR19	Beach	TOR	52	7,33	17
50	TOR20	Beach	TOR	28	7,8	21
51	TOR21	Forest	TOR	48	7,85	17
52	TOR22	Forest	TOR	37	7,61	19
53	TOR23	Forest	TOR	42	7,19	21
54	TOR24	Forest	TOR	30	7,14	18
55	TOR25	Forest	TOR	70	7,85	20
56	TOR26	Forest	TOR	15	7,89	18
57	TOR27	Forest	TOR	26	7,98	21
58	TOR28	Forest	TOR	16	7,73	20
59	TOR29	Forest	TOR	10	7,84	18
60	TOR30	Forest	TOR	58	6,81	21
61	OJA01	Meadow	OJA	8	6,93	20
62	OJA02	Meadow	OJA	15	6,98	18
63	OJA03	Meadow	OJA	5	7,78	19
64	OJA04	Meadow	OJA	10	6,2	18
65	OJA05	Meadow	OJA	16	7,88	19
66	OJA06	Meadow	OJA	7	6,4	21
67	OJA07	Meadow	OJA	13	6,66	18
68	OJA08	Meadow	OJA	7	7,99	19
69	OJA09	Meadow	OJA	15	6,32	17
70	OJA10	Meadow	OJA	19	7,74	20
71	OJA11	Beach	OJA	15	7,89	17
72	OJA12	Beach	OJA	1	7,52	21
73	OJA13	Beach	OJA	1	7,19	20
74	OJA14	Beach	OJA	10	6,21	17
75	OJA15	Beach	OJA	15	7,95	20
76	OJA16	Beach	OJA	7	7,74	21
77	OJA17	Beach	OJA	14	7,98	21
78	OJA18	Beach	OJA	0	7,1	17
79	OJA19	Beach	OJA	19	7,93	20
80	OJA20	Beach	OJA	5	7,46	19
81	OJA21	Forest	OJA	17	6,42	21
82	OJA22	Forest	OJA	3	7,39	21
83	OJA23	Forest	OJA	5	7,99	20
84	OJA24	Forest	OJA	20	6,08	19
85	OJA25	Forest	OJA	12	6,34	18
86	OJA26	Forest	OJA	3	7,9	18
87	OJA27	Forest	OJA	11	7,84	20
88	OJA28	Forest	OJA	9	7,55	20
89	OJA29	Forest	OJA	16	7,89	20
90	OJA30	Forest	OJA	19	6,87	18
